player,team,pos,gp,min,pts,reb,ast,stl,blk,tpm,tov,fga,fta,fg,ft,adp
Gui Santos,GSW,PF/SF/SG,70,26.0,4.1,3.07,1.4,0.45,0.18,0.61,0.75,3.2,0.75,0.0,0.0,389.0
Drew Eubanks,SAC,C,70,26.0,4.25,3.48,0.8,0.18,0.57,0.04,0.63,2.98,1.06,0.0,0.0,390.0
Monté Morris,,PG,70,26.0,5.2,1.49,1.6,0.44,0.07,0.69,0.47,4.33,0.93,0.0,0.0,391.0
Daeqwon Plowden,SAC,PF/SF,70,26.0,7.2,1.83,0.3,0.0,0.0,1.5,0.67,4.17,0.33,0.0,0.0,392.0
David Roddy,,PF/SF,70,26.0,4.93,2.42,0.93,0.37,0.21,0.53,0.47,4.7,0.71,0.0,0.0,393.0
Delon Wright,,PG,70,26.0,3.4,1.6,1.95,0.87,0.28,0.52,0.55,3.33,0.63,0.0,0.0,394.0
Reed Sheppard,HOU,PG/SG,70,26.0,4.4,1.5,1.4,0.67,0.33,0.92,0.71,4.6,0.31,0.0,0.0,395.0
Cody Williams,UTA,SF/SG,70,26.0,4.6,2.26,1.2,0.46,0.32,0.7,0.88,5.14,0.8,0.0,0.0,396.0
Aaron Holiday,HOU,PG,70,26.0,5.5,1.26,1.3,0.31,0.18,1.16,0.6,4.32,0.66,0.0,0.0,397.0
Wendell Moore,,PF/SF/SG,70,26.0,4.3,2.7,1.2,0.56,0.14,0.42,0.79,3.63,0.6,0.0,0.0,398.0
Kris Murray,POR,PF/SF,70,26.0,4.2,2.64,1.0,0.51,0.25,0.39,0.62,4.04,0.83,0.0,0.0,399.0
Tony Bradley,IND,C,70,26.0,4.4,3.0,0.4,0.14,0.64,0.07,0.36,3.21,0.43,0.0,0.0,400.0
Jalen Pickett,DEN,PG/SG,70,26.0,4.1,1.45,2.2,0.39,0.1,0.82,0.49,3.67,0.16,0.0,0.0,401.0
Pelle Larsson,MIA,SF/SG,70,26.0,4.6,1.67,1.2,0.58,0.13,0.58,0.44,3.69,1.11,0.0,0.0,402.0
Dalen Terry,CHI,SF/SG,70,26.0,4.5,1.7,1.3,0.6,0.21,0.51,0.73,3.67,0.95,0.0,0.0,403.0
Taze Moore,,PG/SG,70,26.0,3.0,4.0,0.5,1.0,0.0,0.5,1.0,5.0,1.0,0.0,0.0,404.0
Lindy Waters,SAS,PF/SF,70,26.0,4.45,1.76,0.9,0.47,0.17,1.18,0.33,4.26,0.14,0.0,0.0,405.0
Julian Phillips,CHI,PF,70,26.0,4.6,2.14,0.5,0.48,0.25,0.63,0.34,3.63,0.96,0.0,0.0,406.0
Jeff Green,HOU,C/PF/SF,70,26.0,5.4,1.81,0.6,0.19,0.13,0.91,0.28,3.78,0.81,0.0,0.0,407.0
Landry Shamet,NYK,SF/SG,70,26.0,5.7,1.22,0.5,0.46,0.04,1.24,0.44,4.6,0.36,0.0,0.0,408.0
Dariq Whitehead,OKC,PG/SF/SG,70,26.0,5.7,1.45,0.6,0.3,0.05,1.65,0.75,4.8,0.25,0.0,0.0,409.0
Reggie Jackson,,PG/SG,70,26.0,4.4,1.35,1.5,0.52,0.1,0.81,0.55,4.29,0.29,0.0,0.0,410.0
Dominick Barlow,PHI,C/PF,70,26.0,4.2,2.43,0.5,0.26,0.46,0.2,0.14,3.23,0.94,0.0,0.0,411.0
Kylor Kelley,,C,70,26.0,3.15,4.31,0.65,0.17,0.29,0.0,0.56,2.31,1.04,0.0,0.0,412.0
Dario Šarić,SAC,C,70,26.0,3.5,3.13,1.4,0.44,0.06,0.44,0.94,3.63,0.63,0.0,0.0,413.0
John Konchar,MEM,PF/SF/SG,70,26.0,2.4,3.28,0.9,0.65,0.3,0.5,0.35,1.98,0.17,0.0,0.0,414.0
Malachi Flynn,,PG/SG,70,26.0,4.0,1.75,1.8,0.75,0.0,0.25,1.0,3.25,1.5,0.0,0.0,415.0
Elijah Harkless,UTA,SF/SG,70,26.0,3.2,2.1,0.8,1.0,0.1,0.7,0.3,3.5,0.6,0.0,0.0,416.0
Bruno Fernando,,C,70,26.0,3.4,3.0,1.1,0.24,0.53,0.0,0.82,2.88,0.47,0.0,0.0,417.0
Lester Quinones,ORL,PF/SF,70,26.0,5.45,1.33,1.45,0.17,0.11,0.72,1.06,4.89,0.79,0.0,0.0,418.0
Olivier-Maxence Prosper,MEM,C/PF/SF,70,26.0,3.9,2.42,0.8,0.5,0.12,0.23,0.27,3.35,1.46,0.0,0.0,419.0
Devin Carter,SAC,PG/SG,70,26.0,3.8,2.11,1.1,0.58,0.11,0.5,0.5,3.53,1.22,0.0,0.0,420.0
Andre Jackson,MIL,SF/SG,70,26.0,3.4,2.72,1.2,0.51,0.21,0.45,0.87,2.94,0.36,0.0,0.0,421.0
Baylor Scheierman,BOS,PF/SF,70,26.0,3.6,2.1,1.1,0.55,0.06,0.84,0.39,3.55,0.39,0.0,0.0,422.0
Jaylen Clark,MIN,PF/SF/SG,70,26.0,4.1,1.33,0.7,0.9,0.05,0.55,0.2,3.0,0.93,0.0,0.0,423.0
Marvin Bagley,WAS,C,70,26.0,4.25,2.64,0.35,0.27,0.26,0.1,0.33,3.33,1.1,0.0,0.0,424.0
Ousmane Dieng,OKC,C/PF/SF,70,26.0,3.8,2.19,0.8,0.46,0.19,0.62,0.49,3.38,0.43,0.0,0.0,425.0
Duop Reath,POR,C,70,26.0,4.2,2.0,0.6,0.26,0.3,0.74,0.35,3.61,0.48,0.0,0.0,426.0
Cam Spencer,MEM,PG/SF/SG,70,26.0,4.2,1.2,1.4,0.36,0.04,0.76,0.24,3.28,0.76,0.0,0.0,427.0
Rob Dillingham,MIN,PG/SG,70,26.0,4.5,1.02,2.0,0.41,0.02,0.51,1.08,4.31,0.31,0.0,0.0,428.0
Jae'Sean Tate,HOU,PF/SF,70,26.0,3.6,2.25,0.9,0.5,0.13,0.31,0.42,2.85,0.9,0.0,0.0,429.0
Cory Joseph,,PG/SG,70,26.0,3.5,1.48,1.4,0.52,0.08,0.78,0.36,3.08,0.36,0.0,0.0,430.0
Blake Wesley,POR,PG/SG,70,26.0,3.7,1.05,2.0,0.64,0.1,0.29,0.93,3.21,1.05,0.0,0.0,431.0
Lamar Stevens,,PF/SF,70,26.0,4.4,2.24,0.5,0.29,0.18,0.47,0.59,3.71,0.65,0.0,0.0,432.0
Jackson Rowe,GSW,PF/SF,70,26.0,3.7,1.83,0.7,0.67,0.0,0.5,0.17,2.83,1.0,0.0,0.0,433.0
Jevon Carter,CHI,PG/SF/SG,70,26.0,4.3,1.08,1.1,0.36,0.08,0.97,0.31,4.06,0.28,0.0,0.0,434.0
Branden Carlson,OKC,C,70,26.0,3.8,1.69,0.4,0.16,0.66,0.69,0.22,3.03,0.56,0.0,0.0,435.0
Jamaree Bouyea,,PF,70,26.0,3.4,1.0,2.0,0.8,0.4,0.2,1.6,2.4,1.2,0.0,0.0,436.0
Taj Gibson,,C/PF,70,26.0,2.9,3.24,0.6,0.24,0.49,0.03,0.68,2.57,0.54,0.0,0.0,437.0
Miles Norris,,PF/SF,70,26.0,2.3,3.0,0.0,0.67,0.33,0.67,0.0,3.0,0.67,0.0,0.0,438.0
Jericho Sims,MIL,C,70,26.0,2.0,4.08,0.7,0.17,0.45,0.0,0.7,1.48,0.17,0.0,0.0,439.0
JT Thor,,C/PF,70,26.0,3.5,2.25,0.3,0.39,0.44,0.3,0.47,2.83,1.08,0.0,0.0,440.0
Alex Reese,,PF/SF,70,26.0,3.65,2.15,0.15,0.35,0.35,0.54,0.21,2.4,0.43,0.0,0.0,441.0
Terrence Shannon,MIN,PF/SF/SG,70,26.0,4.3,1.47,1.0,0.22,0.16,0.34,0.47,3.56,0.66,0.0,0.0,442.0
Caleb Houstan,ATL,SF/SG,70,26.0,4.1,1.29,0.6,0.38,0.1,1.1,0.22,3.28,0.29,0.0,0.0,443.0
Craig Porter,CLE,PG/SG,70,26.0,3.7,1.31,1.4,0.33,0.29,0.41,0.75,2.75,0.63,0.0,0.0,444.0
Zeke Nnaji,DEN,C/PF,70,26.0,3.2,1.58,0.4,0.44,0.67,0.3,0.25,2.47,0.77,0.0,0.0,445.0
Markieff Morris,,C/PF,70,26.0,3.6,1.51,1.35,0.14,0.2,0.58,0.33,4.57,0.38,0.0,0.0,446.0
Jordan Miller,LAC,SF/SG,70,26.0,4.1,1.57,0.9,0.46,0.14,0.22,0.7,3.62,0.95,0.0,0.0,447.0
Malaki Branham,WAS,PG/SF/SG,70,26.0,5.0,1.09,0.8,0.23,0.04,0.72,0.72,4.04,0.7,0.0,0.0,448.0
Jaylen Nowell,,PG/SG,70,26.0,4.2,1.25,1.15,0.07,0.25,0.5,0.5,4.57,0.69,0.0,0.0,449.0
Cole Swider,,C/PF,70,26.0,3.7,2.06,0.4,0.25,0.13,0.94,0.25,4.88,0.07,0.0,0.0,450.0
Jett Howard,ORL,SF/SG,70,26.0,4.5,1.17,0.7,0.22,0.18,0.92,0.6,4.37,0.38,0.0,0.0,451.0
Jaylon Tyson,CLE,PF/SF,70,26.0,3.6,2.04,0.9,0.28,0.06,0.43,0.55,3.17,0.51,0.0,0.0,452.0
Dalton Knecht,LAL,PF/SF/SG,70,26.0,4.55,1.39,0.4,0.15,0.05,0.82,0.23,3.57,0.54,0.0,0.0,453.0
Yuri Collins,,PG/SG,70,26.0,1.0,1.5,2.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,454.0
RayJ Dennis,IND,PG,70,26.0,2.7,1.09,1.3,0.64,0.18,0.55,0.45,3.0,0.18,0.0,0.0,455.0
Vasilije Micić,,PG/SG,70,26.0,3.75,1.41,1.85,0.21,0.0,0.63,1.33,3.79,0.57,0.0,0.0,456.0
Alondes Williams,,PG/SG,70,26.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,457.0
Gary Harris,MIL,SF/SG,70,26.0,3.0,1.33,0.6,0.54,0.25,0.75,0.35,2.77,0.25,0.0,0.0,458.0
Dwight Powell,DAL,C,70,26.0,2.1,2.15,1.0,0.33,0.38,0.04,0.33,1.11,0.78,0.0,0.0,459.0
Trey Jemison,NYK,C,70,26.0,2.5,2.76,0.45,0.27,0.4,0.0,0.64,1.96,0.93,0.0,0.0,460.0
Dillon Jones,WAS,C/PF/SF,70,26.0,2.5,2.24,1.1,0.3,0.07,0.3,0.52,2.46,0.52,0.0,0.0,461.0
Christian Koloko,LAL,C,70,26.0,2.4,2.49,0.4,0.22,0.43,0.0,0.32,1.78,0.38,0.0,0.0,462.0
Jaylen Martin,,SF/SG,70,26.0,3.4,1.69,0.65,0.34,0.0,0.4,0.46,3.1,0.39,0.0,0.0,463.0
Patty Mills,,PG/SG,70,26.0,3.75,0.66,0.8,0.39,0.09,0.88,0.51,3.07,0.52,0.0,0.0,464.0
Pete Nance,MIL,PF/SF,70,26.0,2.95,1.63,0.8,0.16,0.17,0.7,0.34,2.49,0.14,0.0,0.0,465.0
Emoni Bates,,PF/SF,70,26.0,3.7,0.7,0.8,0.1,0.1,1.1,0.2,3.8,0.0,0.0,0.0,466.0
Jae Crowder,,PF,70,26.0,2.6,2.22,0.7,0.33,0.0,0.44,0.44,2.44,0.67,0.0,0.0,467.0
Tristan Thompson,,C,70,26.0,1.7,3.35,0.6,0.05,0.28,0.0,0.35,1.78,0.75,0.0,0.0,468.0
Daniel Theis,,C,70,26.0,2.15,2.16,0.8,0.23,0.27,0.12,0.33,1.7,0.48,0.0,0.0,469.0
Markelle Fultz,,PG/SG,70,26.0,2.9,0.95,1.3,0.48,0.1,0.19,0.71,3.19,0.05,0.0,0.0,470.0
Jalen Hood-Schifino,,PF/SF/SG,70,26.0,3.27,0.83,1.1,0.13,0.32,0.36,0.6,2.65,0.82,0.0,0.0,471.0
Keshad Johnson,MIA,C/PF,70,26.0,2.7,1.75,0.3,0.31,0.25,0.19,0.25,1.63,0.56,0.0,0.0,472.0
Kevin Knox,,PF/SF,70,26.0,3.3,1.21,0.4,0.14,0.29,0.29,0.29,2.57,0.57,0.0,0.0,473.0
Maxwell Lewis,,PF/SF/SG,70,26.0,2.95,1.41,0.55,0.26,0.17,0.45,0.43,2.86,0.24,0.0,0.0,474.0
Pat Spencer,GSW,PG/SF/SG,70,26.0,2.5,1.18,1.2,0.36,0.08,0.13,0.46,2.59,0.38,0.0,0.0,475.0
Isaac Jones,SAC,C/PF,70,26.0,3.4,1.43,0.3,0.13,0.25,0.08,0.4,2.08,0.9,0.0,0.0,476.0
Luka Garza,BOS,C,70,26.0,3.5,1.38,0.3,0.15,0.08,0.26,0.31,2.69,0.9,0.0,0.0,477.0
Garrett Temple,TOR,PG/SG,70,26.0,1.9,1.04,1.1,0.61,0.07,0.21,0.36,2.14,0.43,0.0,0.0,478.0
Rayan Rupert,POR,PG/SF/SG,70,26.0,3.0,1.35,0.5,0.31,0.08,0.31,0.58,2.73,0.58,0.0,0.0,479.0
Reece Beekman,ORL,PG,70,26.0,1.85,0.81,1.15,0.72,0.03,0.1,0.31,1.81,0.31,0.0,0.0,480.0
Tyler Kolek,NYK,PG,70,26.0,2.0,0.66,1.7,0.29,0.1,0.34,0.44,2.0,0.41,0.0,0.0,481.0
Hunter Tyson,DEN,PF/SF,70,26.0,2.6,1.53,0.4,0.2,0.12,0.45,0.27,2.35,0.55,0.0,0.0,482.0
Nate Williams,LAL,PG/SF/SG,70,26.0,3.3,0.65,0.5,0.4,0.2,0.3,0.7,3.1,0.4,0.0,0.0,483.0
Josh Minott,BOS,PF,70,26.0,2.6,1.02,0.4,0.33,0.26,0.3,0.24,1.96,0.41,0.0,0.0,484.0
Vlatko Čančar,,C/PF,70,26.0,1.8,2.46,0.7,0.23,0.15,0.31,0.85,2.0,0.0,0.0,0.0,485.0
Kevin McCullar,NYK,PG/SG,70,26.0,1.5,2.0,0.5,0.25,0.25,0.0,0.0,1.75,0.5,0.0,0.0,486.0
Johnny Furphy,IND,SF/SG,70,26.0,2.1,1.42,0.4,0.36,0.22,0.3,0.24,1.84,0.44,0.0,0.0,487.0
Doug McDermott,SAC,PF/SF,70,26.0,3.5,0.52,0.2,0.1,0.05,1.05,0.14,2.79,0.12,0.0,0.0,488.0
Drew Peterson,CHA,PF/SF,70,26.0,2.2,1.6,0.5,0.2,0.08,0.52,0.32,1.64,0.36,0.0,0.0,489.0
Jordan McLaughlin,SAS,PG,70,26.0,2.2,0.63,1.2,0.34,0.03,0.43,0.34,1.56,0.45,0.0,0.0,490.0
Ariel Hukporti,NYK,C,70,26.0,1.9,2.04,0.4,0.04,0.6,0.0,0.84,1.24,0.52,0.0,0.0,491.0
Damion Lee,,SF/SG,70,26.0,3.3,0.8,0.4,0.24,0.0,0.36,0.4,2.96,0.84,0.0,0.0,492.0
Bones Hyland,MIN,PG/SG,70,26.0,2.83,0.48,0.8,0.3,0.07,0.6,0.48,2.17,0.43,0.0,0.0,493.0
Tyler Smith,MIL,C/PF,70,26.0,2.9,1.09,0.2,0.13,0.17,0.57,0.35,2.17,0.35,0.0,0.0,494.0
Phillip Wheeler,ORL,PF/SF,70,26.0,1.6,1.6,0.4,0.2,0.4,0.0,0.2,4.2,0.4,0.0,0.0,495.0
Mason Jones,,SF,70,26.0,2.3,0.9,1.1,0.0,0.1,0.1,0.1,1.8,0.5,0.0,0.0,496.0
Patrick Baldwin,LAC,SF,70,26.0,2.55,1.25,0.3,0.07,0.04,0.75,0.12,1.25,0.09,0.0,0.0,497.0
David Duke,,SF/SG,70,26.0,2.7,0.83,0.7,0.17,0.0,0.5,0.33,2.33,0.33,0.0,0.0,498.0
MarJon Beauchamp,PHI,PF,70,26.0,2.83,1.24,0.4,0.1,0.01,0.37,0.33,1.99,0.82,0.0,0.0,499.0
Bobi Klintman,DET,PF/SF,70,26.0,1.9,0.88,0.9,0.25,0.13,0.25,0.13,1.25,0.25,0.0,0.0,500.0
Kobe Brown,LAC,C/PF,70,26.0,1.9,1.63,0.6,0.18,0.1,0.15,0.3,1.8,0.18,0.0,0.0,501.0
TyTy Washington,,PG/SG,70,26.0,2.2,0.81,1.0,0.19,0.0,0.25,0.19,2.81,0.38,0.0,0.0,502.0
Bronny James,LAL,PG/SG,70,26.0,2.3,0.67,0.8,0.33,0.11,0.33,0.48,2.48,0.52,0.0,0.0,503.0
Anthony Gill,WAS,PF/SF,70,26.0,2.5,1.29,0.3,0.18,0.04,0.2,0.2,1.73,0.98,0.0,0.0,504.0
Josh Richardson,,PG/SG,70,26.0,2.0,0.75,0.75,0.5,0.07,0.38,0.5,2.38,0.25,0.0,0.0,505.0
Armel Traore,,PF/SF,70,26.0,1.6,1.67,0.1,0.44,0.22,0.0,0.33,2.11,0.78,0.0,0.0,506.0
Harrison Ingram,SAS,PF/SF,70,26.0,0.8,1.8,0.6,0.6,0.0,0.0,0.2,0.8,0.0,0.0,0.0,507.0
Enrique Freeman,MIN,C/PF,70,26.0,2.1,1.36,0.4,0.14,0.14,0.05,0.27,1.68,0.86,0.0,0.0,508.0
Jaden Springer,NOP,PG,70,26.0,1.83,0.97,0.6,0.39,0.07,0.19,0.29,1.53,0.6,0.0,0.0,509.0
Cam Reddish,,PF/SF,70,26.0,1.6,1.0,0.35,0.5,0.15,0.2,0.18,1.43,0.4,0.0,0.0,510.0
Maxi Kleber,LAL,C/PF,70,26.0,1.5,1.4,0.65,0.13,0.25,0.19,0.34,1.41,0.31,0.0,0.0,511.0
Josh Christopher,,PG/SF/SG,70,26.0,2.0,0.64,0.6,0.36,0.21,0.14,0.43,2.21,0.43,0.0,0.0,512.0
Jordan Walsh,BOS,SF/SG,70,26.0,1.6,1.33,0.4,0.23,0.21,0.29,0.33,1.6,0.23,0.0,0.0,513.0
Chris Duarte,,SF/SG,70,26.0,2.1,1.18,0.5,0.0,0.0,0.35,0.06,1.53,0.47,0.0,0.0,514.0
JD Davison,HOU,PG/SG,70,26.0,2.1,0.81,0.8,0.31,0.06,0.25,0.81,2.13,0.44,0.0,0.0,515.0
Alex Len,NYK,C,70,26.0,1.2,1.63,0.53,0.11,0.27,0.04,0.4,1.11,0.25,0.0,0.0,516.0
Cam Christie,LAC,SF/SG,70,26.0,1.4,0.92,0.5,0.38,0.08,0.15,0.15,1.85,0.31,0.0,0.0,517.0
Emanuel Miller,CHI,PF/SF,70,26.0,1.7,1.33,0.3,0.17,0.0,0.0,0.0,1.33,0.33,0.0,0.0,518.0
Alex Ducas,,PF/SF,70,26.0,1.7,1.24,0.2,0.24,0.0,0.48,0.19,1.43,0.1,0.0,0.0,519.0
Adama Sanogo,,PF/SF,70,26.0,2.0,1.5,0.3,0.0,0.0,0.0,0.25,1.75,0.0,0.0,0.0,520.0
Adam Flagler,SAS,PG/SF/SG,70,26.0,1.8,0.73,0.3,0.22,0.08,0.38,0.11,2.59,0.05,0.0,0.0,521.0
Pacôme Dadiet,NYK,PF,70,26.0,1.7,1.0,0.3,0.17,0.11,0.33,0.22,1.72,0.33,0.0,0.0,522.0
James Wiseman,IND,C,70,26.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,523.0
Chris Livingston,,PF/SF,70,26.0,1.4,1.67,0.2,0.24,0.0,0.0,0.29,1.29,0.76,0.0,0.0,524.0
PJ Hall,MEM,C,70,26.0,1.7,1.16,0.2,0.0,0.21,0.11,0.11,1.26,0.21,0.0,0.0,525.0
Jahmir Young,MIA,PG/SG,70,26.0,1.8,0.5,1.0,0.0,0.0,0.17,0.17,0.83,0.33,0.0,0.0,526.0
Yuki Kawamura,,PG,70,26.0,1.6,0.55,0.9,0.09,0.0,0.32,0.23,1.36,0.41,0.0,0.0,527.0
Spencer Jones,DEN,SF/SG,70,26.0,1.3,0.85,0.3,0.25,0.25,0.05,0.25,1.7,0.15,0.0,0.0,528.0
E.J. Liddell,BKN,C,70,26.0,1.8,0.75,0.3,0.08,0.08,0.25,0.17,1.25,0.17,0.0,0.0,529.0
Luke Travers,CLE,PF/SF,70,26.0,1.0,1.67,0.7,0.08,0.08,0.0,0.67,1.67,0.17,0.0,0.0,530.0
Xavier Tillman,BOS,C/PF,70,26.0,1.0,1.3,0.2,0.33,0.15,0.15,0.42,1.61,0.12,0.0,0.0,531.0
D.J. Carton,,PG/SG,70,26.0,0.8,1.0,0.8,0.5,0.0,0.0,1.0,1.75,0.25,0.0,0.0,532.0
Jack McVeigh,,PF,70,26.0,1.6,0.56,0.1,0.0,0.22,0.44,0.22,1.89,0.0,0.0,0.0,533.0
Braxton Key,MEM,PF/SF,70,26.0,1.0,0.67,0.0,0.67,0.0,0.0,0.33,1.33,2.0,0.0,0.0,534.0
Leonard Miller,MIN,PF,70,26.0,1.5,0.85,0.0,0.15,0.08,0.0,0.15,1.15,0.62,0.0,0.0,535.0
Joe Ingles,MIN,PF/SF,70,26.0,0.8,0.58,1.2,0.11,0.0,0.16,0.47,1.21,0.0,0.0,0.0,536.0
Sidy Cissoko,POR,C,70,26.0,1.1,0.93,0.73,0.09,0.07,0.06,0.64,1.15,0.32,0.0,0.0,537.0
Skal Labissière,,C/PF,70,26.0,1.3,0.75,0.3,0.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,538.0
Johnny Davis,,PG/SG,70,26.0,1.2,0.56,0.15,0.22,0.09,0.1,0.1,1.15,0.22,0.0,0.0,539.0
Trey Alexander,NOP,PG/SG,70,26.0,1.3,0.5,0.5,0.08,0.04,0.13,0.21,1.71,0.17,0.0,0.0,540.0
Jazian Gortman,,PG/SG,70,26.0,1.5,0.31,0.4,0.13,0.06,0.25,0.31,1.44,0.25,0.0,0.0,541.0
Stanley Umude,SAS,C/PF/SF,70,26.0,0.7,0.77,0.2,0.14,0.27,0.14,0.14,1.18,0.18,0.0,0.0,542.0
Justin Minaya,,SF,70,26.0,0.9,0.53,0.4,0.32,0.05,0.11,0.26,1.11,0.11,0.0,0.0,543.0
Matt Ryan,NYK,PF/SF/SG,70,26.0,1.5,0.42,0.2,0.11,0.0,0.32,0.16,1.63,0.11,0.0,0.0,544.0
Trentyn Flowers,CHI,SF/SG,70,26.0,1.8,0.67,0.0,0.0,0.0,0.0,0.17,1.83,0.5,0.0,0.0,545.0
PJ Dozier,,PF/SF/SG,70,26.0,0.8,0.56,0.6,0.11,0.0,0.22,0.11,0.33,0.67,0.0,0.0,546.0
Mac McClung,,PG,70,20.0,0.0,0.5,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,547.0
Jahlil Okafor,,C/PF,70,20.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548.0
Terence Davis,,SF/SG,70,20.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,549.0
Ulrich Chomche,,C,70,26.0,0.7,1.14,0.3,0.0,0.14,0.0,0.29,0.71,0.29,0.0,0.0,550.0
Riley Minix,SAS,PG/SF/SG,70,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,551.0
Liam Robbins,,PF/SF,70,26.0,0.7,0.92,0.2,0.15,0.15,0.0,0.46,0.62,0.77,0.0,0.0,552.0
Isaiah Crawford,HOU,PF/SF,70,26.0,0.9,0.53,0.1,0.07,0.13,0.07,0.07,0.73,0.27,0.0,0.0,553.0
Quincy Olivari,,PG/SG,70,26.0,1.5,0.0,0.5,0.0,0.0,0.5,0.5,2.5,0.0,0.0,0.0,554.0
P.J. Tucker,,PF,70,26.0,0.75,0.67,0.0,0.08,0.08,0.25,0.08,0.58,0.0,0.0,0.0,555.0
Daniss Jenkins,DET,PG/SG,70,26.0,1.0,0.29,0.4,0.0,0.0,0.14,0.14,1.43,0.29,0.0,0.0,556.0
James Johnson,,PF,70,26.0,0.7,0.5,0.3,0.0,0.17,0.0,0.33,0.92,0.08,0.0,0.0,557.0
Tristen Newton,MIN,PG,70,26.0,0.3,0.67,0.25,0.17,0.0,0.0,0.27,0.94,0.1,0.0,0.0,558.0
Isaiah Stevens,SAC,PG,70,20.0,0.0,0.67,0.0,0.33,0.0,0.0,0.0,0.67,0.0,0.0,0.0,559.0
Bryce McGowens,NOP,PG/SG,70,26.0,1.0,0.23,0.2,0.08,0.0,0.0,0.31,1.08,0.46,0.0,0.0,560.0
Jalen Bridges,,PF/SF,70,26.0,1.1,0.5,0.0,0.0,0.0,0.25,0.5,0.88,0.5,0.0,0.0,561.0
Terry Taylor,,C/PF/SF,70,20.0,0.0,0.33,0.7,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,562.0
Yongxi Cui,,PG/SG,70,26.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,1.4,0.4,0.0,0.0,563.0
Malevy Leons,OKC,PF/SF,70,26.0,0.3,0.5,0.2,0.0,0.0,0.0,0.17,0.33,0.67,0.0,0.0,564.0
Jalen McDaniels,,SF/SG,70,20.0,0.0,0.0,0.3,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0
Anton Watson,LAL,PF/SF,70,26.0,0.45,0.17,0.1,0.06,0.0,0.0,0.11,0.5,0.0,0.0,0.0,566.0
Daishen Nix,,PG,70,26.0,0.15,0.67,0.5,0.0,0.0,0.0,0.67,0.17,0.34,0.0,0.0,567.0
Jesse Edwards,,C,70,20.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.0
