player,team,pos,gp,min,pts,reb,ast,stl,blk,tpm,tov,fga,fta,fg,ft,adp
Jimmy Butler,GSW,PF/SF,70,30.0,17.45,5.37,5.35,1.38,0.34,0.57,1.33,10.82,7.07,0.0,0.0,61.0
Dyson Daniels,ATL,PG/SG,70,30.0,14.1,5.91,4.4,3.01,0.72,1.05,2.04,12.14,1.84,0.0,0.0,62.0
Julius Randle,MIN,C/PF,70,33.0,18.7,7.06,4.7,0.68,0.23,1.57,2.84,13.61,4.86,0.0,0.0,63.0
Jalen Green,PHX,SF/SG,70,33.0,21.0,4.6,3.4,0.87,0.33,2.85,2.48,17.52,4.1,0.0,0.0,64.0
Jordan Poole,NOP,PG/SG,70,33.0,20.5,2.99,4.5,1.26,0.4,3.46,3.0,15.54,4.03,0.0,0.0,65.0
Coby White,CHI,PG/SG,70,33.0,20.4,3.69,4.5,0.93,0.22,2.92,2.39,15.15,4.15,0.0,0.0,66.0
Derrick White,BOS,PG/SG,70,30.0,16.4,4.49,4.8,0.95,1.05,3.49,1.72,12.62,2.12,0.0,0.0,67.0
Amen Thompson,HOU,PG/SF/SG,70,30.0,14.1,8.17,3.8,1.41,1.29,0.36,2.0,10.1,3.58,0.0,0.0,68.0
Jakob Poeltl,TOR,C,70,30.0,14.5,9.6,2.8,1.16,1.25,0.02,1.95,10.16,2.53,0.0,0.0,69.0
Chet Holmgren,OKC,C/PF,70,30.0,15.0,8.03,2.0,0.72,2.22,1.38,1.75,10.66,4.19,0.0,0.0,70.0
OG Anunoby,NYK,PF,70,33.0,18.0,4.84,2.2,1.49,0.88,2.31,1.38,13.88,3.05,0.0,0.0,71.0
Deni Avdija,POR,PF/SF,70,30.0,16.9,7.25,3.9,0.99,0.49,1.74,2.72,11.72,5.17,0.0,0.0,72.0
Norman Powell,MIA,SF/SG,70,33.0,21.8,3.17,2.1,1.22,0.15,2.98,1.8,15.75,4.42,0.0,0.0,73.0
Paul George,PHI,SF/SG,70,30.0,16.2,5.34,4.3,1.83,0.49,2.34,2.59,13.9,2.37,0.0,0.0,74.0
Michael Porter,BKN,PF/SF,70,33.0,18.2,7.01,2.1,0.65,0.49,2.51,1.35,13.61,2.52,0.0,0.0,75.0
Walker Kessler,UTA,C,70,26.0,11.1,12.19,1.7,0.62,2.38,0.1,1.48,7.22,2.62,0.0,0.0,76.0
Cameron Johnson,DEN,PF/SF,70,33.0,18.8,4.33,3.4,0.93,0.44,2.79,1.74,13.11,3.95,0.0,0.0,77.0
Malik Monk,SAC,SF/SG,70,30.0,17.2,3.77,5.6,0.94,0.58,2.14,2.45,14.45,2.74,0.0,0.0,78.0
Andrew Wiggins,MIA,SF/SG,70,33.0,18.3,4.41,2.85,1.05,0.89,2.16,1.92,14.21,4.38,0.0,0.0,79.0
Anfernee Simons,BOS,PG/SG,70,33.0,19.3,2.7,4.8,0.86,0.07,3.07,2.04,16.07,2.77,0.0,0.0,80.0
Lauri Markkanen,UTA,PF/SF,70,33.0,19.0,5.91,1.5,0.7,0.36,2.94,1.4,14.89,3.94,0.0,0.0,81.0
Myles Turner,MIL,C/PF,70,30.0,15.6,6.54,1.5,0.75,2.0,2.17,1.71,11.26,3.31,0.0,0.0,82.0
Immanuel Quickley,TOR,PG/SG,70,30.0,17.1,3.55,5.8,0.7,0.12,2.58,1.76,13.27,3.88,0.0,0.0,83.0
Isaiah Hartenstein,OKC,C,70,26.0,11.2,10.72,3.8,0.82,1.09,0.0,1.68,8.42,2.05,0.0,0.0,84.0
Fred VanVleet,HOU,PG,70,30.0,14.1,3.68,5.6,1.57,0.42,2.65,1.45,12.65,2.28,0.0,0.0,85.0
Deandre Ayton,LAL,C,70,30.0,14.4,10.15,1.6,0.78,0.98,0.15,1.73,11.7,1.5,0.0,0.0,86.0
P.J. Washington,DAL,C/PF,70,30.0,14.7,7.75,2.3,1.11,1.05,1.6,2.07,11.67,3.47,0.0,0.0,87.0
Rudy Gobert,MIN,C,70,30.0,12.0,10.9,1.8,0.78,1.44,0.0,1.24,7.08,3.79,0.0,0.0,88.0
Jarrett Allen,CLE,C,70,30.0,13.5,9.73,1.9,0.94,0.89,0.0,1.18,7.8,3.38,0.0,0.0,89.0
Onyeka Okongwu,ATL,C,70,30.0,13.4,8.92,2.3,0.93,0.92,0.65,1.22,9.24,2.92,0.0,0.0,90.0
Jalen Suggs,ORL,PG/SG,70,30.0,16.2,4.03,3.7,1.46,0.94,2.17,2.91,13.74,3.14,0.0,0.0,91.0
Keyonte George,UTA,PG/SG,70,30.0,16.8,3.78,5.6,0.69,0.13,2.6,2.73,13.72,4.25,0.0,0.0,92.0
Shaedon Sharpe,POR,PG/SG,70,33.0,18.5,4.5,2.8,0.86,0.22,2.04,2.08,15.33,3.36,0.0,0.0,93.0
Mikal Bridges,NYK,PF/SF,70,30.0,17.6,3.16,3.7,0.91,0.52,2.0,1.61,14.43,1.44,0.0,0.0,94.0
Jalen Duren,DET,C,70,26.0,11.8,10.35,2.7,0.69,1.14,0.0,1.74,7.0,3.1,0.0,0.0,95.0
Devin Vassell,SAS,SF/SG,70,30.0,16.3,3.98,2.9,1.31,0.52,2.47,1.38,13.89,1.88,0.0,0.0,96.0
Jaden Ivey,DET,PG/SG,70,30.0,17.6,4.13,4.0,0.93,0.37,2.1,2.97,13.77,3.87,0.0,0.0,97.0
Bradley Beal,LAC,SF/SG,70,30.0,17.0,3.34,3.7,1.09,0.53,1.92,1.87,13.09,2.58,0.0,0.0,98.0
Bobby Portis,MIL,C/PF,70,30.0,13.9,8.39,2.1,0.71,0.53,1.33,1.16,12.14,1.49,0.0,0.0,99.0
Russell Westbrook,SAC,PG,70,30.0,13.3,4.93,6.1,1.41,0.49,1.25,3.23,11.08,3.11,0.0,0.0,100.0
Kelly Oubre,PHI,PF/SF,70,30.0,15.1,6.13,1.8,1.53,0.5,1.18,1.33,12.35,3.08,0.0,0.0,101.0
